Name of Share Issuer,Net Short Position (%)
HAMMERSON PLC,14.24
Royal Mail Plc,9.6
METRO BANK PLC,9.239999999999998
CINEWORLD GROUP,8.75
PREMIER OIL PLC,8.69
TULLOW OIL PLC,7.73
SAINSBURY (J) PLC,7.38
CARILLION PLC,7.16
PEARSON PLC,6.68
PETROFAC LTD,6.06
DOMINO'S PIZZA GROUP PLC,5.51
BLUE PRISM GROUP PLC,4.959999999999999
BABCOCK INTL GROUP PLC,4.949999999999999
PETS AT HOME GROUP PLC,4.92
IQE PLC,4.68
PETROPAVLOVSK PLC,4.64
FUTURE PLC,4.609999999999999
TUI AG,4.41
WEIR GROUP PLC/THE,4.4
DIGNITY PLC,4.18
VODAFONE GROUP PLC,4.0200000000000005
WM MORRISON SUPERMARKETS,3.9799999999999995
CRODA INTERNATIONAL PLC,3.83
MICRO FOCUS INTERNATIONAL,3.62
SMITH (DAVID S) HOLDINGS PLC,3.59
GVC Holdings Plc,3.57
ASHMORE GROUP PLC,3.52
WOOD GROUP (JOHN) PLC,3.5
ASCENTIAL PLC,3.49
KEYWORDS STUDIOS PLC,3.47
CAPITA PLC,3.42
INTERCONTINENTAL HOTELS GROUP PLC,3.33
MARKS & SPENCER GROUP PLC,3.24
HURRICANE ENERGY PLC,3.14
Primary Health Properties PLC,3.1100000000000003
AGGREKO PLC,3.04
ULTRA ELECTRONICS HLDGS PLC,3.02
RESTAURANT GROUP PLC,2.84
VICTREX PLC,2.82
AUTO TRADER GROUP PLC,2.55
AA PLC,2.5300000000000002
HISCOX LTD,2.5
A.G. Barr PLC,2.3999999999999995
VIRGIN MONEY UK PLC,2.38
VITEC GROUP PLC (THE),2.37
CREST NICHOLSON HLDGS PLC,2.3499999999999996
N. Brown Group,2.31
DAILY MAIL & GENERAL TRUST,2.2399999999999998
B&M EUROPEAN VALUE RETAIL S.A.,2.23
MARSTON'S PLC,2.09
NETWORK INTERNATIONAL HOLDINGS PLC,2.05
CRANEWARE PLC,1.97
VALIANT PETROLEUM PLC,1.9
RIGHTMOVE PLC,1.89
STANDARD LIFE ABERDEEN PLC,1.87
AFRICAN MINERALS LTD,1.84
ST JAMES'S PLACE PLC,1.81
Aston Martin Lagonda Global Holdings Plc,1.75
MCCARTHY & STONE PLC,1.72
HARGREAVES LANSDOWN PLC,1.71
Signature Aviation Plc,1.69
IOMART GROUP PLC,1.62
SUPERGROUP PLC,1.58
JOHNSON MATTHEY PLC,1.54
SPECTRIS PLC,1.53
LONDON MINING PLC,1.51
JUPITER FUND MANAGEMENT PLC,1.5
PENDRAGON PLC,1.49
PORVAIR PLC,1.48
SMART METERING SYSTEMS PLC,1.4500000000000002
Devro plc,1.45
ROLLS-ROYCE HOLDINGS PLC,1.42
ANGLO AMERICAN PLC,1.41
Galliford Try plc,1.39
DUNELM GROUP PLC,1.37
Kier Group plc,1.3199999999999998
ITV PLC,1.3
FIRST DERIVATIVES PLC,1.26
PZ CUSSONS PLC,1.2599999999999998
Trainline PLC,1.24
Burford Capital Limited,1.23
TELECOM PLUS PLC (LN*),1.22
Dialight PLC,1.18
BOOHOO.COM PLC,1.15
LEARNING TECHNOLOGIES GROUP PLC,1.14
MELROSE INDUSTRIES PLC,1.13
REACH PLC,1.12
FIRSTGROUP PLC,1.11
MENZIES(JOHN),1.1099999999999999
CARNIVAL PLC,1.1
KINGFISHER PLC,1.09
BRITVIC PLC,1.08
PAYPOINT PLC,1.07
NEWRIVER REIT PLC,1.05
REDEFINE INTL PLC,1.04
ASOS PLC,1.02
WHITBREAD PLC,1.0
BEAZLEY PLC,0.99
HALFORDS GROUP PLC,0.97
STRIX GROUP PLC,0.96
SABRE INSURANCE GROUP PLC,0.93
SCAPA GROUP PLC,0.88
IDEAGEN PLC,0.84
EQUINITI GROUP PLC,0.82
INCHCAPE PLC,0.8
Arrow Global Group plc,0.79
Mothercare Plc,0.78
CVS GROUP PLC,0.76
AJ BELL PLC,0.72
GREENCORE GROUP PLC,0.71
BURBERRY GROUP PLC,0.7
MEGGITT PLC,0.69
HILTON FOOD GROUP PLC,0.68
ANIMALCARE GROUP PLC,0.67
ESSENTRA PLC,0.66
LAND SECURITIES GROUP PLC,0.64
Synthomer PLC,0.63
Motorpoint Group Plc,0.61
CAIRN ENERGY PLC,0.6
CAIRN HOMES PLC,0.59
GENEL ENERGY PLC,0.58
G4S PLC,0.57
FUNDING CIRCLE HOLDINGS PLC,0.56
Bakkavor Group plc,0.54
Frasers Group Plc,0.53
BARRATT DEVELOPMENTS PLC,0.52
AUGEAN PLC,0.5
